Município;Data da Ocorrência;Número da Ocorrência;Desastre;IDHM;Receita Corrente Líquida;PIB;População;Prefeito;Pessoas Afetadas;Prejuízo Público;Prejuízo Privado;Recebeu Ajuda?;Material;Quantidade;Data da Solicitação;Data do Envio
Guaratuba;23/01/2024 09:00;26/2024;Tempestade Local/Convectiva - Chuvas Intensas;0,717;R$ 192.576.590,56;R$ 883.636,83;42.062;Roberto Cordeiro Justus;3.744;R$ 20.695.779,66;R$ 0,00;Sim;Cesta Básica;111;31/01/2024 10:21;01/02/2024 12:00
Guaratuba;23/01/2024 09:00;26/2024;Tempestade Local/Convectiva - Chuvas Intensas;0,717;R$ 192.576.590,56;R$ 883.636,83;42.062;Roberto Cordeiro Justus;3.744;R$ 20.695.779,66;R$ 0,00;Sim;Colchão Solteiro;111;31/01/2024 10:21;01/02/2024 12:00
Guaratuba;23/01/2024 09:00;26/2024;Tempestade Local/Convectiva - Chuvas Intensas;0,717;R$ 192.576.590,56;R$ 883.636,83;42.062;Roberto Cordeiro Justus;3.744;R$ 20.695.779,66;R$ 0,00;Sim;Kit Dormitório-(1 cobertor solteiro, 1 lençol solteiro, 1 fronha e 1 travesseiro);111;31/01/2024 10:21;01/02/2024 12:00
Guaratuba;23/01/2024 09:00;26/2024;Tempestade Local/Convectiva - Chuvas Intensas;0,717;R$ 192.576.590,56;R$ 883.636,83;42.062;Roberto Cordeiro Justus;3.744;R$ 20.695.779,66;R$ 0,00;Sim;Kit Higiene;111;31/01/2024 10:21;01/02/2024 12:00
Guaratuba;23/01/2024 09:00;26/2024;Tempestade Local/Convectiva - Chuvas Intensas;0,717;R$ 192.576.590,56;R$ 883.636,83;42.062;Roberto Cordeiro Justus;3.744;R$ 20.695.779,66;R$ 0,00;Sim;Kit Limpeza;111;31/01/2024 10:21;01/02/2024 12:00
Matinhos;20/01/2024 17:30;19/2024;Tempestade Local/Convectiva - Chuvas Intensas;0,743;R$ 179.799.681,64;R$ 822.622,78;39.259;José Carlos do Espirito Santo;6.814;R$ 657.468,98;R$ 0,00;Sim;Cesta Básica;150;25/01/2024 14:38;26/01/2024 09:00
Matinhos;20/01/2024 17:30;19/2024;Tempestade Local/Convectiva - Chuvas Intensas;0,743;R$ 179.799.681,64;R$ 822.622,78;39.259;José Carlos do Espirito Santo;6.814;R$ 657.468,98;R$ 0,00;Sim;Colchão Solteiro;150;25/01/2024 14:38;26/01/2024 09:00
Matinhos;20/01/2024 17:30;19/2024;Tempestade Local/Convectiva - Chuvas Intensas;0,743;R$ 179.799.681,64;R$ 822.622,78;39.259;José Carlos do Espirito Santo;6.814;R$ 657.468,98;R$ 0,00;Sim;Kit Dormitório-(1 cobertor solteiro, 1 lençol solteiro, 1 fronha e 1 travesseiro);150;25/01/2024 14:38;26/01/2024 09:00
Matinhos;20/01/2024 17:30;19/2024;Tempestade Local/Convectiva - Chuvas Intensas;0,743;R$ 179.799.681,64;R$ 822.622,78;39.259;José Carlos do Espirito Santo;6.814;R$ 657.468,98;R$ 0,00;Sim;Kit Higiene;150;25/01/2024 14:38;26/01/2024 09:00
Matinhos;20/01/2024 17:30;19/2024;Tempestade Local/Convectiva - Chuvas Intensas;0,743;R$ 179.799.681,64;R$ 822.622,78;39.259;José Carlos do Espirito Santo;6.814;R$ 657.468,98;R$ 0,00;Sim;Kit Limpeza;150;25/01/2024 14:38;26/01/2024 09:00
Matinhos;20/01/2024 17:30;19/2024;Tempestade Local/Convectiva - Chuvas Intensas;0,743;R$ 179.799.681,64;R$ 822.622,78;39.259;José Carlos do Espirito Santo;6.814;R$ 657.468,98;R$ 0,00;Sim;Lona Plástica Preta - Rolo com 4x100 metros;2;25/01/2024 14:38;26/01/2024 09:00
Pontal do Paraná;20/01/2024 15:30;34/2024;Tempestade Local/Convectiva - Chuvas Intensas;0,738;R$ 150.585.260,74;R$ 595.383,86;30.425;RUDISNEY GIMENES FILHO;1.878;R$ 228.211,97;R$ 0,00;Sim;Cesta Básica;200;25/01/2024 16:46;26/01/2024 09:00
Pontal do Paraná;20/01/2024 15:30;34/2024;Tempestade Local/Convectiva - Chuvas Intensas;0,738;R$ 150.585.260,74;R$ 595.383,86;30.425;RUDISNEY GIMENES FILHO;1.878;R$ 228.211,97;R$ 0,00;Sim;Colchão Solteiro;50;25/01/2024 16:46;26/01/2024 09:00
Pontal do Paraná;20/01/2024 15:30;34/2024;Tempestade Local/Convectiva - Chuvas Intensas;0,738;R$ 150.585.260,74;R$ 595.383,86;30.425;RUDISNEY GIMENES FILHO;1.878;R$ 228.211,97;R$ 0,00;Sim;Kit Dormitório-(1 cobertor solteiro, 1 lençol solteiro, 1 fronha e 1 travesseiro);50;25/01/2024 16:46;26/01/2024 09:00
Pontal do Paraná;20/01/2024 15:30;34/2024;Tempestade Local/Convectiva - Chuvas Intensas;0,738;R$ 150.585.260,74;R$ 595.383,86;30.425;RUDISNEY GIMENES FILHO;1.878;R$ 228.211,97;R$ 0,00;Sim;Kit Higiene;200;25/01/2024 16:46;26/01/2024 09:00
Pontal do Paraná;20/01/2024 15:30;34/2024;Tempestade Local/Convectiva - Chuvas Intensas;0,738;R$ 150.585.260,74;R$ 595.383,86;30.425;RUDISNEY GIMENES FILHO;1.878;R$ 228.211,97;R$ 0,00;Sim;Kit Limpeza;500;25/01/2024 16:46;26/01/2024 09:00
Pontal do Paraná;20/01/2024 15:30;34/2024;Tempestade Local/Convectiva - Chuvas Intensas;0,738;R$ 150.585.260,74;R$ 595.383,86;30.425;RUDISNEY GIMENES FILHO;1.878;R$ 228.211,97;R$ 0,00;Sim;Lona Plástica Preta - Rolo com 4x100 metros;5;25/01/2024 16:46;26/01/2024 09:00
Santa Isabel do Ivaí;19/01/2024 15:30;16/2024;Alagamentos;0,72;R$ 31.110.618,83;R$ 245.269,89;8.912;Freonizio Valente;140;R$ 0,00;R$ 0,00;Não;-;-;-;-
Antonina;18/01/2024 14:00;43/2024;Doenças infecciosas virais;0,687;R$ 67.373.108,67;R$ 573.234,18;18.091;José Paulo Vieira Azim;586;R$ 496.130,00;R$ 0,00;Não;-;-;-;-
Capitão Leônidas Marques;15/01/2024 16:11;10/2024;Doenças infecciosas virais;0,716;R$ 54.296.186,08;R$ 1.393.985,39;14.648;MAXWELL SCAPINI;2.590;R$ 266.553,55;R$ 0,00;Não;-;-;-;-
Quedas do Iguaçu;15/01/2024 08:00;15/2024;Doenças infecciosas virais;0,681;R$ 85.625.222,89;R$ 1.291.203,47;30.738;Elcio Jaime da Luz;1.279;R$ 684.678,00;R$ 0,00;Não;-;-;-;-
Pérola;15/01/2024 04:00;13/2024;Enxurradas;0,70;R$ 41.709.022,13;R$ 399.110,87;11.878;VALDETE CARLOS OLIVEIRA GONÇALVES DA CUNHA;224;R$ 828.881,07;R$ 105.000,00;Não;-;-;-;-
Pinhal de São Bento;23/12/2023 18:00;692/2023;Tempestade Local/Convectiva - Vendaval;0,695;R$ 14.963.032,85;R$ 68.097,38;2.761;PAULO FALCADE DE OLIVEIRA;801;R$ 95.100,00;R$ 3.767.600,00;Sim;Cesta Básica;-;28/12/2023 08:21;-
Pinhal de São Bento;23/12/2023 18:00;692/2023;Tempestade Local/Convectiva - Vendaval;0,695;R$ 14.963.032,85;R$ 68.097,38;2.761;PAULO FALCADE DE OLIVEIRA;801;R$ 95.100,00;R$ 3.767.600,00;Sim;Colchão Solteiro;30;28/12/2023 08:21;29/12/2023 10:00
Pinhal de São Bento;23/12/2023 18:00;692/2023;Tempestade Local/Convectiva - Vendaval;0,695;R$ 14.963.032,85;R$ 68.097,38;2.761;PAULO FALCADE DE OLIVEIRA;801;R$ 95.100,00;R$ 3.767.600,00;Sim;Kit Dormitório-(1 cobertor solteiro, 1 lençol solteiro, 1 fronha e 1 travesseiro);20;28/12/2023 08:21;29/12/2023 10:00
Pinhal de São Bento;23/12/2023 18:00;692/2023;Tempestade Local/Convectiva - Vendaval;0,695;R$ 14.963.032,85;R$ 68.097,38;2.761;PAULO FALCADE DE OLIVEIRA;801;R$ 95.100,00;R$ 3.767.600,00;Sim;Kit Limpeza;-;28/12/2023 08:21;-
Pinhal de São Bento;23/12/2023 18:00;692/2023;Tempestade Local/Convectiva - Vendaval;0,695;R$ 14.963.032,85;R$ 68.097,38;2.761;PAULO FALCADE DE OLIVEIRA;801;R$ 95.100,00;R$ 3.767.600,00;Sim;Telha Fibrocimento 2.44x500x4mm;-;28/12/2023 08:21;-
Santa Isabel do Ivaí;23/12/2023 16:00;702/2023;Tempestade Local/Convectiva - Vendaval;0,72;R$ 31.110.618,83;R$ 245.269,89;8.912;Freonizio Valente;56;R$ 0,00;R$ 105.000,00;Não;-;-;-;-
Mariópolis;03/12/2023 18:10;668/2023;Enxurradas;0,698;R$ 30.234.839,50;R$ 371.994,45;6.371;Mário Eduardo Lopes Paulek;1.374;R$ 0,00;R$ 31.916.051,53;Não;-;-;-;-
Tunas do Paraná;23/11/2023 16:30;657/2023;Alagamentos;0,611;R$ 25.789.052,53;R$ 122.576,86;6.219;MARCO ANTÔNIO BALDÃO;801;R$ 71.001,00;R$ 0,00;Sim;Cesta Básica;200;26/11/2023 12:30;29/11/2023 10:00
